pair_id,pair_type,template_id,edit_type_idx,edit_type_name,agent,model,instruction,aesthetic_path,non_aesthetic_path,aesthetic_score,non_aesthetic_score,score_gap,edit_quality_score
1131w-50t2MzJLmsM_t6_singleshot__regression,regression,1131w-50t2MzJLmsM,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Expand the ""AT 10:00 AM, SATURDAY"" text into a body paragraph: ""At 10:00 AM, Saturday—join us for fresh coffee, music, and giveaways.""",images/1131w-50t2MzJLmsM_t6_singleshot__regression__aesthetic.png,images/1131w-50t2MzJLmsM_t6_singleshot__regression__non_aesthetic.png,86.0,85.0,1.0,100.0
1600w-m4qQZp-grvQ_t8_singleshot__regression,regression,1600w-m4qQZp-grvQ,8,Typography Style Shift,singleshot,gemini/gemini-2.5-pro,"Switch the ""BRAND PROPOSAL"" headline to a tall serif in light weight uppercase for an elegant tone.",images/1600w-m4qQZp-grvQ_t8_singleshot__regression__aesthetic.png,images/1600w-m4qQZp-grvQ_t8_singleshot__regression__non_aesthetic.png,81.0,74.0,7.0,100.0
1600w-DVXZyB158ss_t6_singleshot__regression,regression,1600w-DVXZyB158ss,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Expand the body paragraph under “ABOUT ME” to 2–3× length with cohesive lorem ipsum, preserving tone and existing alignment to test wrapping and layout balance.",images/1600w-DVXZyB158ss_t6_singleshot__regression__aesthetic.png,images/1600w-DVXZyB158ss_t6_singleshot__regression__non_aesthetic.png,86.0,58.0,28.0,52.0
1131w-9cN5biKALLQ_t10_singleshot__regression,regression,1131w-9cN5biKALLQ,10,Background Replacement,singleshot,gemini/gemini-2.5-pro,"Replace the plain light blue background with a frosty cracked-ice texture in pale teal gradient (#E6F7FA to #CDEFF4), keeping the dark blue headline and price highly legible.",images/1131w-9cN5biKALLQ_t10_singleshot__regression__aesthetic.png,images/1131w-9cN5biKALLQ_t10_singleshot__regression__non_aesthetic.png,84.0,76.0,8.0,42.0
1131w-w2bliFOwlfc_t4_singleshot__regression,regression,1131w-w2bliFOwlfc,4,Object Removal,singleshot,gemini/gemini-2.5-pro,Remove the red starburst icon left of the phone; slightly enlarge and center the phone to rebalance the layout while keeping the nostalgic tone.,images/1131w-w2bliFOwlfc_t4_singleshot__regression__aesthetic.png,images/1131w-w2bliFOwlfc_t4_singleshot__regression__non_aesthetic.png,96.0,92.0,4.0,100.0
1600w-4gpfnsQOREQ_t7_singleshot__regression,regression,1600w-4gpfnsQOREQ,7,Image Replacement,singleshot,gemini/gemini-2.5-pro,Replace the smartphone displaying an envelope notification with a centered steaming teacup illustration to shift the mood from productivity to relaxation while keeping the composition.,images/1600w-4gpfnsQOREQ_t7_singleshot__regression__aesthetic.png,images/1600w-4gpfnsQOREQ_t7_singleshot__regression__non_aesthetic.png,83.0,51.0,32.0,33.0
1600w-VLAmdFwJm1I_t6_singleshot__regression,regression,1600w-VLAmdFwJm1I,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Expand 'VIVID MARKETING' into a paragraph: Vivid Marketing unites teams with clear plans, shared goals, and real‑time insights, enabling smoother collaboration, faster approvals, and consistent campaign execution across channels.",images/1600w-VLAmdFwJm1I_t6_singleshot__regression__aesthetic.png,images/1600w-VLAmdFwJm1I_t6_singleshot__regression__non_aesthetic.png,93.0,48.0,45.0,98.0
1280w-l2k_WnNosUU_t7_singleshot__regression,regression,1280w-l2k_WnNosUU,7,Image Replacement,singleshot,gemini/gemini-2.5-pro,Replace the colorful starburst day badges and rounded event bars with minimalist monochrome corporate agenda bars and simple circle day markers.,images/1280w-l2k_WnNosUU_t7_singleshot__regression__aesthetic.png,images/1280w-l2k_WnNosUU_t7_singleshot__regression__non_aesthetic.png,76.0,66.0,10.0,0.0
1257w-dnPJ18q1Q2E_t13_singleshot__regression,regression,1257w-dnPJ18q1Q2E,13,Add Secondary Text Block,singleshot,gemini/gemini-2.5-pro,"Add a small italic sans-serif subtitle 'Two hearts, one lifetime.' centered beneath 'OUR LOVE' in soft cream #F6E3D3 with slight letter-spacing, balancing the space above the figure.",images/1257w-dnPJ18q1Q2E_t13_singleshot__regression__aesthetic.png,images/1257w-dnPJ18q1Q2E_t13_singleshot__regression__non_aesthetic.png,89.0,80.0,9.0,100.0
1600w-Vu6fJpXHfB0_t3_singleshot__regression,regression,1600w-Vu6fJpXHfB0,3,Global Layout Change,singleshot,gemini/gemini-2.5-pro,"Reflow to a two-column layout: pin the question mark left; stack 'DID YOU KNOW' above the fact text right, center-aligned with generous whitespace.",images/1600w-Vu6fJpXHfB0_t3_singleshot__regression__aesthetic.png,images/1600w-Vu6fJpXHfB0_t3_singleshot__regression__non_aesthetic.png,91.0,79.0,12.0,42.0
1257w-EN_LTZdAMlw_t8_singleshot__regression,regression,1257w-EN_LTZdAMlw,8,Typography Style Shift,singleshot,gemini/gemini-2.5-pro,"Replace the “PUMPKIN PATCH FESTIVAL” headline with a tall serif, uppercase, high-contrast style, removing the distressed texture to create an elegant tone.",images/1257w-EN_LTZdAMlw_t8_singleshot__regression__aesthetic.png,images/1257w-EN_LTZdAMlw_t8_singleshot__regression__non_aesthetic.png,86.0,64.0,22.0,100.0
1257w-dnPJ18q1Q2E_t2_singleshot__regression,regression,1257w-dnPJ18q1Q2E,2,2-Element Layout Swap,singleshot,gemini/gemini-2.5-pro,"Swap the headline and the main image positions, placing the woman’s portrait centered top and the title centered in the lower half, preserving equal side margins for balance.",images/1257w-dnPJ18q1Q2E_t2_singleshot__regression__aesthetic.png,images/1257w-dnPJ18q1Q2E_t2_singleshot__regression__non_aesthetic.png,89.0,80.0,9.0,100.0
848w-x9A8Hm2mD6U_t7_singleshot__regression,regression,848w-x9A8Hm2mD6U,7,Image Replacement,singleshot,gemini/gemini-2.5-pro,"Replace the minimalist office desk photo with a cozy coffee shop tabletop scene—latte, notebook, and small plant—maintaining the round table composition and soft, neutral lighting.",images/848w-x9A8Hm2mD6U_t7_singleshot__regression__aesthetic.png,images/848w-x9A8Hm2mD6U_t7_singleshot__regression__non_aesthetic.png,70.0,62.0,8.0,97.0
1600w-NcQMz5zOIyQ_t6_singleshot__regression,regression,1600w-NcQMz5zOIyQ,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Expand the bottom “YOU ARE INVITED” into: “You’re invited to dance, celebrate, and enjoy tonight!” with wrapping.",images/1600w-NcQMz5zOIyQ_t6_singleshot__regression__aesthetic.png,images/1600w-NcQMz5zOIyQ_t6_singleshot__regression__non_aesthetic.png,62.0,61.0,1.0,100.0
1135w-e1BT38mksX0_t9_singleshot__regression,regression,1135w-e1BT38mksX0,9,Accent Recolor,singleshot,gemini/gemini-2.5-pro,"Recolor the ""HALLOWEEN"" headline text to deep purple #6A3CBC.",images/1135w-e1BT38mksX0_t9_singleshot__regression__aesthetic.png,images/1135w-e1BT38mksX0_t9_singleshot__regression__non_aesthetic.png,55.0,34.0,21.0,
1600w-jlhsA8F30Lk_t4_singleshot__regression,regression,1600w-jlhsA8F30Lk,4,Object Removal,singleshot,gemini/gemini-2.5-pro,"Remove the megaphone illustration; enlarge and shift the speech bubble slightly left to fill space, keeping “WE ARE OPEN TODAY” centered and the time aligned bottom-right inside.",images/1600w-jlhsA8F30Lk_t4_singleshot__regression__aesthetic.png,images/1600w-jlhsA8F30Lk_t4_singleshot__regression__non_aesthetic.png,82.0,81.0,1.0,66.0
1131w-Cn6h5Tqrn10_t1_singleshot__regression,regression,1131w-Cn6h5Tqrn10,1,Translation,singleshot,gemini/gemini-2.5-pro,"Translate 'Daily Motivation' to 'Motivación diaria' and the headline to '“Mantente inspirado, nunca dejes de crear”'.",images/1131w-Cn6h5Tqrn10_t1_singleshot__regression__aesthetic.png,images/1131w-Cn6h5Tqrn10_t1_singleshot__regression__non_aesthetic.png,80.0,79.0,1.0,98.0
1600w-F-yK2D5pels_t3_singleshot__regression,regression,1600w-F-yK2D5pels,3,Global Layout Change,singleshot,gemini/gemini-2.5-pro,Refactor to split-screen: left shows centered 'MEDIA KIT' on solid background; right stacks the three images vertically; position 'COLLAB STUDIO' left and the button right in a top bar.,images/1600w-F-yK2D5pels_t3_singleshot__regression__aesthetic.png,images/1600w-F-yK2D5pels_t3_singleshot__regression__non_aesthetic.png,98.0,72.0,26.0,55.0
900w-8g4EBLeikgE_t12_singleshot__regression,regression,900w-8g4EBLeikgE,12,Contrast & Readability Enhancement,singleshot,gemini/gemini-2.5-pro,"Add a thin cream (#F4E7D7) stroke around the ""Fast, Fresh & Delicious"" script to improve legibility against the mustard ""LUNCH TIMES"" background.",images/900w-8g4EBLeikgE_t12_singleshot__regression__aesthetic.png,images/900w-8g4EBLeikgE_t12_singleshot__regression__non_aesthetic.png,88.0,76.0,12.0,
1257w-dnPJ18q1Q2E_t8_singleshot__regression,regression,1257w-dnPJ18q1Q2E,8,Typography Style Shift,singleshot,gemini/gemini-2.5-pro,Switch “THE STORY OF OUR LOVE” to a tall serif font to shift the tone from bold to elegant.,images/1257w-dnPJ18q1Q2E_t8_singleshot__regression__aesthetic.png,images/1257w-dnPJ18q1Q2E_t8_singleshot__regression__non_aesthetic.png,89.0,80.0,9.0,87.0
1600w-DVXZyB158ss_t9_singleshot__regression,regression,1600w-DVXZyB158ss,9,Accent Recolor,singleshot,gemini/gemini-2.5-pro,"Recolor the ""ABOUT ME"" heading to deep forest green #184D3A.",images/1600w-DVXZyB158ss_t9_singleshot__regression__aesthetic.png,images/1600w-DVXZyB158ss_t9_singleshot__regression__non_aesthetic.png,86.0,58.0,28.0,100.0
1280w-l2k_WnNosUU_t10_singleshot__regression,regression,1280w-l2k_WnNosUU,10,Background Replacement,singleshot,gemini/gemini-2.5-pro,"Replace the peach background with a dark slate #1E293B–#0F172A vertical gradient to create an evening mood, keeping all colored event bars and text clearly legible.",images/1280w-l2k_WnNosUU_t10_singleshot__regression__aesthetic.png,images/1280w-l2k_WnNosUU_t10_singleshot__regression__non_aesthetic.png,76.0,66.0,10.0,100.0
