template_id,render_path,vlmrun_pro_score
1067w-IQprojiENUA,../datasets/specs/1067w-IQprojiENUA/render.png,97.0
1131w-02GXIIidf_4,../datasets/specs/1131w-02GXIIidf_4/render.png,66.0
1131w-120Kpwxx3eY,../datasets/specs/1131w-120Kpwxx3eY/render.png,94.0
1131w-50t2MzJLmsM,../datasets/specs/1131w-50t2MzJLmsM/render.png,80.0
1131w-9cN5biKALLQ,../datasets/specs/1131w-9cN5biKALLQ/render.png,67.0
1131w-Cn6h5Tqrn10,../datasets/specs/1131w-Cn6h5Tqrn10/render.png,88.0
1131w-DBVzDPV0y5E,../datasets/specs/1131w-DBVzDPV0y5E/render.png,54.0
1131w-HeJuVR7Avb0,../datasets/specs/1131w-HeJuVR7Avb0/render.png,98.0
1131w-MQeKlmQ9RXc,../datasets/specs/1131w-MQeKlmQ9RXc/render.png,91.0
1131w-Uq1C4aZZi9w,../datasets/specs/1131w-Uq1C4aZZi9w/render.png,83.0
1131w-eRlpDg4f0K8,../datasets/specs/1131w-eRlpDg4f0K8/render.png,43.0
1131w-mOTBWbhbFs0,../datasets/specs/1131w-mOTBWbhbFs0/render.png,49.0
1131w-oRypOitC9EY,../datasets/specs/1131w-oRypOitC9EY/render.png,99.0
1131w-rH9o0IzDWQY,../datasets/specs/1131w-rH9o0IzDWQY/render.png,60.0
1131w-sSnAV2dB_qg,../datasets/specs/1131w-sSnAV2dB_qg/render.png,91.0
1131w-tpnRumgzO8o,../datasets/specs/1131w-tpnRumgzO8o/render.png,73.0
1131w-w-XME4y3KWk,../datasets/specs/1131w-w-XME4y3KWk/render.png,81.0
1131w-w2bliFOwlfc,../datasets/specs/1131w-w2bliFOwlfc/render.png,66.0
1131w-xPTl82ZC-e4,../datasets/specs/1131w-xPTl82ZC-e4/render.png,87.0
1131w-zau150HLMWk,../datasets/specs/1131w-zau150HLMWk/render.png,62.0
1131w-zsrhBwj_J58,../datasets/specs/1131w-zsrhBwj_J58/render.png,80.0
