design,template_id,template_name,categories,instruction,agent,model,edit_id,edit_path,render_path,status,aesthetic_score,original_score,score_diff,edit_quality_score
1131w-50t2MzJLmsM,6,Copy Expansion,"text,layout,global","Expand the ""AT 10:00 AM, SATURDAY"" text into a body paragraph: ""At 10:00 AM, Saturday—join us for fresh coffee, music, and giveaways.""",singleshot,gemini/gemini-2.5-pro,1131w-50t2MzJLmsM_t6_singleshot,../edits/1131w-50t2MzJLmsM_t6_singleshot/spec.json,../edits/1131w-50t2MzJLmsM_t6_singleshot/render.png,success,85.0,86.0,-1.0,100.0
1600w-m4qQZp-grvQ,8,Typography Style Shift,"text,style,global","Switch the ""BRAND PROPOSAL"" headline to a tall serif in light weight uppercase for an elegant tone.",singleshot,gemini/gemini-2.5-pro,1600w-m4qQZp-grvQ_t8_singleshot,../edits/1600w-m4qQZp-grvQ_t8_singleshot/spec.json,../edits/1600w-m4qQZp-grvQ_t8_singleshot/render.png,success,74.0,81.0,-7.0,100.0
1600w-DVXZyB158ss,6,Copy Expansion,"text,layout,global","Expand the body paragraph under “ABOUT ME” to 2–3× length with cohesive lorem ipsum, preserving tone and existing alignment to test wrapping and layout balance.",singleshot,gemini/gemini-2.5-pro,1600w-DVXZyB158ss_t6_singleshot,../edits/1600w-DVXZyB158ss_t6_singleshot/spec.json,../edits/1600w-DVXZyB158ss_t6_singleshot/render.png,success,58.0,86.0,-28.0,52.0
1131w-9cN5biKALLQ,10,Background Replacement,"image,color,global","Replace the plain light blue background with a frosty cracked-ice texture in pale teal gradient (#E6F7FA to #CDEFF4), keeping the dark blue headline and price highly legible.",singleshot,gemini/gemini-2.5-pro,1131w-9cN5biKALLQ_t10_singleshot,../edits/1131w-9cN5biKALLQ_t10_singleshot/spec.json,../edits/1131w-9cN5biKALLQ_t10_singleshot/render.png,success,76.0,84.0,-8.0,42.0
1280w-1EsFpGQoTQo,1,Translation,"text,global","Translate all on-image text to Spanish: ""CÓMO CONSTRUIR EL NEGOCIO DE TUS SUEÑOS""; nav—""NEGOCIO"", ""CONSEJOS"", ""PARA COACHES""; CTA—""SITIOGENIAL"".",singleshot,gemini/gemini-2.5-pro,1280w-1EsFpGQoTQo_t1_singleshot,../edits/1280w-1EsFpGQoTQo_t1_singleshot/spec.json,../edits/1280w-1EsFpGQoTQo_t1_singleshot/render.png,success,62.0,60.0,2.0,100.0
1131w-w2bliFOwlfc,4,Object Removal,"layout,local",Remove the red starburst icon left of the phone; slightly enlarge and center the phone to rebalance the layout while keeping the nostalgic tone.,singleshot,gemini/gemini-2.5-pro,1131w-w2bliFOwlfc_t4_singleshot,../edits/1131w-w2bliFOwlfc_t4_singleshot/spec.json,../edits/1131w-w2bliFOwlfc_t4_singleshot/render.png,success,92.0,96.0,-4.0,100.0
1600w-4gpfnsQOREQ,7,Image Replacement,"image,layout,local",Replace the smartphone displaying an envelope notification with a centered steaming teacup illustration to shift the mood from productivity to relaxation while keeping the composition.,singleshot,gemini/gemini-2.5-pro,1600w-4gpfnsQOREQ_t7_singleshot,../edits/1600w-4gpfnsQOREQ_t7_singleshot/spec.json,../edits/1600w-4gpfnsQOREQ_t7_singleshot/render.png,success,51.0,83.0,-32.0,33.0
1600w-7YZFYlcCTPk,6,Copy Expansion,"text,layout,global","Expand “STAY TUNED” into body paragraph: “Stay tuned for exciting updates—our big reveal is near. We’re finalizing details and can’t wait to share more, so keep watching this space.”",singleshot,gemini/gemini-2.5-pro,1600w-7YZFYlcCTPk_t6_singleshot,../edits/1600w-7YZFYlcCTPk_t6_singleshot/spec.json,../edits/1600w-7YZFYlcCTPk_t6_singleshot/render.png,success,78.0,75.0,3.0,100.0
1600w-VLAmdFwJm1I,6,Copy Expansion,"text,layout,global","Expand 'VIVID MARKETING' into a paragraph: Vivid Marketing unites teams with clear plans, shared goals, and real‑time insights, enabling smoother collaboration, faster approvals, and consistent campaign execution across channels.",singleshot,gemini/gemini-2.5-pro,1600w-VLAmdFwJm1I_t6_singleshot,../edits/1600w-VLAmdFwJm1I_t6_singleshot/spec.json,../edits/1600w-VLAmdFwJm1I_t6_singleshot/render.png,success,48.0,93.0,-45.0,98.0
848w-a7AVmpGZf5E,9,Accent Recolor,"color,local",Change the bottom rounded CTA button color to cobalt blue #2563EB.,singleshot,gemini/gemini-2.5-pro,848w-a7AVmpGZf5E_t9_singleshot,../edits/848w-a7AVmpGZf5E_t9_singleshot/spec.json,../edits/848w-a7AVmpGZf5E_t9_singleshot/render.png,success,78.0,,,100.0
