template_id,edit_type_id,edit_type,categories,instruction
1067w-IQprojiENUA,0,Color Palette Variation,"color,global","Convert to dark mode: set background deep charcoal #111214, set all text warm ivory #F4EDE4, recolor garments to muted slate blue #465A73 with soft sage accents #A3B99E."
1067w-IQprojiENUA,1,Translation,"text,global",Translate all text to Spanish: change “FASHIONABLE WARDROBE” to “ARMARIO CON ESTILO” and “@reallygreatsite” to “@sitioexcelente”.
1067w-IQprojiENUA,2,2-Element Layout Swap,"layout,global","Swap the “FASHIONABLE WARDROBE” headline with the product collage; position the collage near the top, and center the headline above @reallygreatsite at the bottom for balanced spacing."
1067w-IQprojiENUA,3,Global Layout Change,"layout,global",Convert to a two-column layout with a vertical “FASHIONABLE WARDROBE” title on the left and a centered 2x3 grid of items on the right.
1067w-IQprojiENUA,4,Object Removal,"layout,local",Remove the sunglasses; move the striped shirt slightly left and reposition the jeans a bit lower-right to keep symmetrical spacing under the headline.
1067w-IQprojiENUA,5,Object Addition,"layout,local","Add a small brown leather belt illustration beneath the jeans, right-aligned with the shoes, to fill the lower-right gap and complement the outfit."
1067w-IQprojiENUA,6,Copy Expansion,"text,layout,global","Expand the '@reallygreatsite' footer into a small sans-serif paragraph: 'Follow @reallygreatsite for curated finds, outfit ideas, and seasonal tips to build a versatile, modern wardrobe you'll wear every day.'"
1067w-IQprojiENUA,7,Image Replacement,"image,layout,local","Replace the central clothing-and-accessories flat-lay with a similarly arranged hiking essentials spread (backpack, trekking poles, trail shoes, water bottle, sunglasses, map) on the same neutral background."
1067w-IQprojiENUA,8,Typography Style Shift,"text,style,global",Switch the headline “FASHIONABLE WARDROBE” to lowercase rounded sans-serif in medium weight.
1067w-IQprojiENUA,9,Accent Recolor,"color,local","Recolor the ""FASHIONABLE WARDROBE"" headline to deep navy #0B2545."
1067w-IQprojiENUA,10,Background Replacement,"image,color,global","Replace the beige background with a soft pale lavender #EDE8FF, creating a modern, airy mood while preserving strong contrast for the black title and blue denim items."
1067w-IQprojiENUA,11,Hierarchy Adjustment,"layout,text,global","Enlarge the jeans to huge and center them, while shrinking the “FASHIONABLE WARDROBE” title to small gray #666 and moving it below the collage."
1067w-IQprojiENUA,12,Contrast & Readability Enhancement,"color,style,local",Add a thin charcoal stroke around the white handbag to improve contrast against the beige background.
1067w-IQprojiENUA,13,Add Secondary Text Block,"text,layout,local","Add a small sans-serif subtitle centered below “FASHIONABLE WARDROBE” reading “Curated essentials for everyday style,” in deep charcoal #333 to balance the top space."
1067w-IQprojiENUA,14,Theme Restyling,"style,color,global",Change the background to deep forest green with small gold snowflake motifs to evoke a festive winter theme while keeping the existing layout and items unchanged.
1131w-02GXIIidf_4,0,Color Palette Variation,"color,global","Change all red elements (header, footer, reward badge) to deep navy #0B1B36 with white text; convert the yellow “Last seen” bar to bright cyan #25D0FF with black text."
1131w-02GXIIidf_4,1,Translation,"text,global",Replace the top headline 'MISSING' with uppercase bold 'DESAPARECIDA'.
1131w-02GXIIidf_4,2,2-Element Layout Swap,"layout,global","Swap positions of the cat photo and the red 'MISSING' headline, placing the photo at the very top and the headline centered directly below, maintaining existing margins and balance."
1131w-02GXIIidf_4,3,Global Layout Change,"layout,global","Reflow into a two-column grid: left column full-bleed photo; right column vertically stack MISSING, DONNA, REWARD, description, last-seen, and phone block, with generous spacing and consistent left alignment."
1131w-02GXIIidf_4,4,Object Removal,"layout,local",Remove the red “REWARD” sticker; expand and center the cat photo within its frame to fill the gap while keeping the description and headings in place.
